rating,asin,parent_asin,user_id,record_timestamp,helpful_vote,verified_purchase,category
5.0,B00YQ6X8EO,B00YQ6X8EO,AGKHLEW2SOWHNMFQIJGBECAF7INQ,2020-05-05 14:08:48.923,0,True,All_Beauty
4.0,B081TJ8YS3,B081TJ8YS3,AGKHLEW2SOWHNMFQIJGBECAF7INQ,2020-05-04 18:10:55.070,1,True,All_Beauty
5.0,B07PNNCSP9,B097R46CSY,AE74DYR3QUGVPZJ3P7RFWBGIX7XQ,2020-05-16 21:41:06.052,2,True,All_Beauty
1.0,B09JS339BZ,B09JS339BZ,AFQLNQNQYFWQZPJQZS6V3NZU4QBQ,2022-01-28 18:13:50.220,0,True,All_Beauty


AG73BVBKUOH22USSFJA5ZWL7AKXA    8591
AFKZESU3PTCQ2UVDBDSFVFTXBFNQ_1  6380
AGZZXSMMS4WRHHJRBUJZI4FZDHKQ    5970
AEYVPPWR4CIKWX4BGYKCBCDL2CZQ    5464
AFXF3EGQTQDXMRLDWFU7UBFQZB7Q    5387
AEAXAJACFMXIAAH4WOHRMXPSZWFA    5381
AEIIRIHLIYKQGI7ZOCIJTRDF5NPQ    5007
AF2BLE54TEMGZ546U763ZHZRXC4A    4451
AH665SQ6SQF6DXAGYIQFCX76LALA    4262
AG375WAXLZ7PIOQKIQ6KQB4J3JVQ    4204
AG63W2BMC4HRP76AMS36AYY64AHA    4047
AGZUJTI7A3JFKB4FP5JOH6NVAJIQ_1  3941
AFTZWAK3ZHAPCNSOT5GCKQDECBTQ    3670
AGUTZC4GHLTGYHA3KBEDRF6MHB6A    3543
AHV6QCNBJNSGLATP56JAWJ3C4G2A    3490
AHGQDSOBAIVAAKJFIVEGS344MSXA    3480
AFSHXT5PTGDSFW2725SDXIE6ZVEA    3227
AHPGHDFIU3BUB3RQBP56RQQA7W4Q    3212
AEHWKRPNWNMOAJSMO2F6O7RFRTNA    3173
AHGIDR4IJFS23Q4GTZ33FI5LYDSQ_1  2954
